Time	pitch	roll	yawt	magErr	temperature	magp X	magp Y	magp Z	accelp X	accelp Y	accelp Z	gyrop X	gyrop Y	gyrop Z
0	-0.02499533	0.47524175	359.79943848	0.80749935	29.87100220	246.56771851	55.26721573	389.01193237	-0.66788387	8.01719379	1000.81115723	0.00000278	-0.00000322	-0.00001408	
20	-0.02554097	0.47665522	359.79895020	0.32597992	29.87100220	247.14207458	56.05726624	389.15481567	0.15895605	8.83744812	998.84448242	0.00003418	-0.00000196	-0.00003613	
40	-0.02607892	0.47960174	359.79830933	0.57372379	29.87100220	246.51953125	56.20404816	388.31738281	-0.07266283	7.87855625	999.10693359	0.00000730	0.00000607	-0.00011187	
60	-0.02768794	0.48016712	359.78994751	0.48102504	29.87100220	246.71546936	55.31638336	388.29754639	0.89916515	8.58109570	1000.03680420	-0.00002077	-0.00000509	-0.00001838	
80	-0.02976619	0.47998583	359.79110718	0.58028215	29.87100220	247.19480896	55.27103424	388.80322266	-0.92769432	8.10535622	998.72937012	0.00003880	0.00000216	-0.00000239	
100	-0.02749787	0.48474887	359.79217529	0.80962032	29.87100220	246.75619507	56.52354431	388.93856812	-0.21197271	7.47119093	1001.51831055	0.00000671	0.00002135	0.00001044	
120	-0.02717629	0.48765242	359.79434204	0.75405699	29.87100220	247.19700623	55.11211395	388.46731567	0.53951454	8.13820457	1000.08392334	-0.00001974	0.00003265	-0.00000524	
140	-0.02273139	0.49221587	359.79580688	0.83572179	29.87100220	246.85243225	56.68059540	388.83410645	0.53436136	8.86174583	1000.31359863	0.00002335	0.00003598	-0.00003641	
160	-0.02115021	0.49215910	359.79336548	1.17458296	29.87100220	245.98684692	56.56784821	388.64831543	0.04452896	8.60497856	999.45959473	0.00003215	0.00003742	0.00007093	
180	-0.01745155	0.49184498	359.79873657	1.52139413	29.87100220	247.29710388	54.37925720	388.22863770	-1.04439449	8.39814758	999.70050049	-0.00003694	-0.00000712	-0.00001749	
200	-0.01701881	0.48910356	359.79684448	0.25099140	29.87100220	247.38560486	55.89965439	388.71313477	1.24959421	8.96601200	998.72747803	-0.00006043	-0.00000537	-0.00002107	
220	-0.01646180	0.48673701	359.79394531	1.42809069	29.87100220	246.81045532	54.53787994	389.16308594	1.37646437	8.40710640	998.73980713	0.00000113	0.00001154	-0.00004575	
240	-0.01493205	0.48178566	359.79626465	0.61318672	29.87100220	246.08964539	55.41518402	388.17736816	-0.68786716	7.73543930	997.88305664	0.00004491	0.00002597	0.00001461	
260	-0.01406585	0.48394361	359.79129028	0.43066636	29.87100220	246.61637878	56.20417404	388.20870972	-0.39710283	7.26328135	998.26147461	-0.00000457	0.00004878	-0.00005582	
280	-0.00959552	0.48019895	359.78710938	0.75718457	29.87100220	246.38459778	54.94145203	387.28604126	-0.43809986	8.48387241	999.70312500	-0.00001447	0.00004489	0.00000214	
300	-0.00899950	0.47750759	359.78759766	0.43957487	29.87100220	247.29153442	55.58368301	388.48175049	0.79446077	7.67436028	1001.07318115	0.00006490	0.00002485	0.00004077	
320	-0.01097268	0.47937283	359.79415894	0.53183436	29.87100220	248.05700684	56.63753128	388.74597168	0.05829096	7.77533817	1000.21014404	0.00000696	0.00000639	-0.00004874	
340	-0.00889132	0.48064810	359.78765869	1.18093836	29.87100220	246.60668945	56.58066177	389.93215942	-2.18407917	7.88656712	998.23583984	0.00004221	-0.00004014	-0.00000049	
360	-0.01112916	0.48589838	359.78985596	0.77358699	29.87100220	247.09158325	56.68457413	389.17056274	0.75766182	8.82751656	997.74896240	0.00001774	-0.00000371	0.00003766	
380	-0.01074232	0.48963818	359.79440308	0.52385193	29.87100220	246.32704163	56.09817886	388.36605835	-1.22335720	8.85348129	998.06005859	-0.00002349	-0.00000018	0.00001315	
400	-0.00993770	0.49005306	359.79577637	0.29451478	29.87100220	247.24090576	56.10704041	388.60525513	-0.43483257	8.24559021	999.83020020	0.00003848	-0.00001370	-0.00003153	
420	-0.00592069	0.49040049	359.79159546	1.04960859	29.87100220	247.18806458	56.99755478	388.90438843	-0.08303165	9.04039764	999.20532227	-0.00003309	0.00002120	-0.00001552	
